PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C,Union Council,UC_C
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Hissara Yasinzai,200143
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Kangra,200144
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Katuzai,200145
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Khan Mahi,200146
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Maira Prang,200147
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Maira Umarzai,200148
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Matta Mughal Khel,200149
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Mohammad Nari,200150
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Nissatta,200151
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Panjpao,200152
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Rashkai,200153
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Razar-i,200154
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Razar-ii,200155
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Sarki Titara,200156
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Sheikhu,200157
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Tarnab,200158
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Turang Zai,200159
Khyber Pakhtunkhwa,2,Charsadda,205,Charsadda,20501,Umar Zai,200160
Khyber Pakhtunkhwa,2,Shangla,220,Chiksar,22003,Bunerwal,200700
Khyber Pakhtunkhwa,2,Shangla,220,Chiksar,22003,Chakisar,200701
Khyber Pakhtunkhwa,2,Shangla,220,Chiksar,22003,Opel,200702
Khyber Pakhtunkhwa,2,Shangla,220,Chiksar,22003,Sarkul,200703
Khyber Pakhtunkhwa,2,Buner,204,Daggar,20403,Daggar,200113
Khyber Pakhtunkhwa,2,Buner,204,Daggar,20403,Elai,200114
Khyber Pakhtunkhwa,2,Buner,204,Daggar,20403,Gokand,200115
Khyber Pakhtunkhwa,2,Buner,204,Daggar,20403,Karapa,200116
Khyber Pakhtunkhwa,2,Buner,204,Daggar,20403,Torwarsak,200117
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Daraban,20701,Chaudhawan,200195
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Daraban,20701,Daraban,200196
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Daraban,20701,Gara Isa Khan,200197
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Daraban,20701,Kiri Shamozai,200198
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Daraban,20701,Musa Zai Sharif,200199
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Bar Jalkot,200340
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Bariyar,200341
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Basha,200342
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Dassu,200343
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Gabral,200344
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Goshli,200345
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Gujar Banda,200346
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Harban,200347
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Jajshoi,200348
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Karang,200349
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Kareen,200350
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Komila,200351
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Kuz Jalkot,200352
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Kuz Parwa,200353
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Loi,200354
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Sazeen,200355
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Seo,200356
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Siglo,200357
Khyber Pakhtunkhwa,2,Kohistan,212,Dassu,21201,Thoti,200358
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Band Korai,200200
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Chahkan,200201
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Dewala,200202
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Giloti,200203
Khyber Pakhtunkhwa,2,Dera Ismail Khan,207,Dera Ismail Khan,20702,Kech,200204
