PROVINCE,PROVINCE_C,DISTRICT,DISTRICT_C,TEHSIL,TEHSIL_C
Khyber Pakhtunkhwa,2,Lower Dir,214,Samar Bagh,21401
Khyber Pakhtunkhwa,2,Malakand P.a.,215,Sam Ranizai,21501
Khyber Pakhtunkhwa,2,Lakki Marwat,213,Sarai Naurang,21302
Khyber Pakhtunkhwa,2,Swabi,221,Swabi,22102
Khyber Pakhtunkhwa,2,Malakand P.a.,215,Swat Ranizai,21502
Khyber Pakhtunkhwa,2,Hangu,208,Tall,20802
Khyber Pakhtunkhwa,2,Lower Dir,214,Timergara,21402
Khyber Pakhtunkhwa,2,Mardan,217,Takht Bhai,21703
Khyber Pakhtunkhwa,2,Karak,210,Takht E Nasrati,21003
Khyber Pakhtunkhwa,2,Charsadda,205,Tangi,20502
Khyber Pakhtunkhwa,2,Tank,229,Tank,22901
Khyber Pakhtunkhwa,2,Swabi,221,Topi,22103
Khyber Pakhtunkhwa,2,Buner,204,Totalai,20406
Khyber Pakhtunkhwa,2,Upper Dir,230,Wari,23004
Khyber Pakhtunkhwa,2,Tor Ghar,231,Tor Ghar,23101
Balochistan,7,Zhob,730,Zhob,73002
Balochistan,7,Zhob,730,Kakar Khurasan,73001
Balochistan,7,Killa Abdullah,716,Chaman,71501
Balochistan,7,Pishin,725,Barshore,72501
Balochistan,7,Killa Abdullah,716,Killa Abdullah,71502
Balochistan,7,Panjpai,726,Panjpai,72601
Balochistan,7,Chagai,704,Taftan,70403
Balochistan,7,Nushki,723,Nushki,72301
Balochistan,7,Chagai,704,Dalbandin,70402
Balochistan,7,Chagai,704,Chagai,70401
Balochistan,7,Washuk,729,Mashkhel,72902
Balochistan,7,Panjgur,724,Gichk,72401
Balochistan,7,Panjgur,724,Parome,72403
Balochistan,7,Kech,712,Buleda,71202
Balochistan,7,Kech,712,Tump,71206
Balochistan,7,Kech,712,Mand,71205
Balochistan,7,Gwadar,706,Gwadar,70601
Balochistan,7,Las Bela,718,Liari,71807
Balochistan,7,Las Bela,718,Sonmiani,71808
Balochistan,7,Gwadar,706,Ormara,70603
Balochistan,7,Gwadar,706,Pasni,70604
Balochistan,7,Gwadar,706,Jiwani,70602
Balochistan,7,Las Bela,718,Gaddani,71803
Balochistan,7,Musakhel,721,Musakhel,72101
Balochistan,7,Kharan,713,Kharan,71301
Balochistan,7,Ziarat,731,Ziarat,73102
Balochistan,7,Quetta,726,Quetta City,72602
Balochistan,7,Awaran,701,Jhal Jao,70102
Balochistan,7,Sheerani,727,Sheerani,72701
Balochistan,7,Pishin,725,Karezat,72502
Balochistan,7,Pishin,725,Pishin,72503
Balochistan,7,Mastung,720,Dasht (Mastung),72001
Balochistan,7,Mastung,720,Mastung,72002
Balochistan,7,Ziarat,731,Sinjawi,73101
Balochistan,7,Harnai,707,Harnai,70701
Balochistan,7,Washuk,729,Besima,72901
Balochistan,7,Kech,712,Kech,71204
Balochistan,7,Kech,712,Dasht (Kech),71203
Balochistan,7,Las Bela,718,Dureji,71802
Balochistan,7,Las Bela,718,Uthal,71809
Balochistan,7,Las Bela,718,Kanraj,71805
Balochistan,7,Khuzdar,714,Wadh,71403
Balochistan,7,Khuzdar,714,Nal,71402
Balochistan,7,Kalat,710,Kalat,71001
Balochistan,7,Kalat,710,Surab,71002
Balochistan,7,Jhal Magsi,709,Gandawa,70901
Balochistan,7,Jhal Magsi,709,Jhal Magsi,70902
Balochistan,7,Kachhi,711,Mach,71102
Balochistan,7,Kachhi,711,Sanni,71103
Balochistan,7,Kachhi,711,Bhag,71101
Balochistan,7,Dera Bugti,705,Sui,70503
Balochistan,7,Dera Bugti,705,Dera Bugti,70501
